song,lyrics
jealousy,  Oh how wrong can you be?  Oh to fall in love was my very first mistake  How was I to know I was far too much in love to see?  Oh jealousy look at me now  Jealousy you got me somehow  You gave me no warning  Took me by surprise  Jealousy you led me on  You couldn't lose you couldn't fail  You had suspicion on my trail    How how how all my jealousy  I wasn't man enough to let you hurt my pride  Now I'm only left with my own jealousy    Oh how strong can you be  With matters of the heart?  Life is much too short  To while away with tears  If only you could see just what you do to me  Oh jealousy you tripped me up  Jealousy you brought me down  You bring me sorrow you cause me pain  Jealousy when will you let go?  Gotta hold of my possessive mind  Turned me into a jealous kind    How how how all my jealousy  I wasn't man enough to let you hurt my pride  Now I'm only left with my own jealousy  But now it matters not if I should live or die  'Cause I'm only left with my own jealousy            
bicyclerace,  Bicycle bicycle bicycle  I want to ride my bicycle bicycle bicycle  I want to ride my bicycle  I want to ride my bike  I want to ride my bicycle  I want to ride it where I like    You say &quot;black&quot;  I say &quot;white&quot;  You say &quot;bark&quot;  I say &quot;bite&quot;  You say &quot;shark&quot;  I say &quot;Hey man   Jaws was never my scene  And I don't like Star Wars!&quot;    You say &quot;Rolls&quot;  I say &quot;Royce&quot;  You say &quot;God&quot; - Give me a choice!  You say &quot;Lord&quot;  I say &quot;Christ!&quot;  I don't believe in Peter Pan   Frankenstein or Superman  All I wanna do is    Bicycle bicycle bicycle  I want to ride my bicycle bicycle bicycle  I want to ride my bicycle  I want to ride my bike  I want to ride my bicycle  I want to ride my    Bicycle races are coming your way  So forget all your duties oh yeah!  Fat-bottomed girls they'll be riding today  So look out for those beauties oh yeah    On your marks get set go    Bicycle race bicycle race bicycle race  Bicycle bicycle bicycle  I want to ride my bicycle bicycle bicycle bicycle  (I want a)  Bicycle race    You say &quot;coke&quot;  I say &quot;caine&quot;  You say &quot;John&quot;  I say &quot;Wayne&quot;  &quot;Hot dog&quot;  I say  &quot;Cool it  man&quot;  I don't wanna be the President of America    You say &quot;smile&quot;  I say &quot;cheese&quot;  &quot;Cartier&quot;  I say  &quot;Please&quot;  &quot;Income tax&quot;  I say &quot;Jesus!&quot;  I don't wanna be a candidate  For Vietnam or Watergate  'Cause all I want to do is    Bicycle bicycle bicycle  I want to ride my bicycle  bicycle (c'mon)  bicycle  I want to ride my bicycle  I want to ride my bike  I want to ride my bicycle  I want to ride it where I like            
ifyoucantbeatthem,  Keep your chin up when you're feeling lonely  Don't let them get you down  Ain't no use in sitting all alone  Hangin' around for someone to call  Ohh they won't come knocking at all  Don't run and hide even if it hurts you inside  So I said give as good as you get    If you can't beat them join them  You better do it 'cause it makes you feel good  If you can't beat them join them  You're never gonna help yourself    Come on go get up  hey  Sure feels good    Keep your big hands off of my money  Don't try and pull me down  You're taking me out to wine and dine me  Trying to wind me round and around  And bind me to your little contract Ha! Ha!  Rumour has it that you could it play dirty  I tell you what I'll do about that  that yeah  I'll play you at your own game    If you can't beat them join them  You better do it 'cause it makes you feel good  If you can't beat them join them  You're never gonna help yourself    That's good play it again    If you can't beat them join them  You better do it 'cause it makes you feel good  If you can't beat them join them  It's everyone for themselves            
letmeentertainyou,  Let me welcome you ladies and gentlemen  I would like to say hello  Are you ready for some entertainment?  Are you ready for a show?  Gonna rock gonna roll you  Get you dancing in the aisles  Jazz and a razzmatazz you  With a little bit of style  C'mon let me entertain you  Let me entertain you let me entertain you    I've come here to sell you my body  I can show you some good merchandise  I'll pull you and pill you  I'll crueladeville you  And to thrill you I'll use any device    We'll give you crazy performance  We'll give you grounds for divorce  We'll give you piece de resistance  And a tour de force of course    We found the right location  Got a lot of pretty lights  The sound and amplification listen  Hey if you need a fix if you want a high  Stickells see to that  With Elektra and EMI  We'll show you where it's at  So c'mon  Let me entertain you let me entertain you  Let me entertain you    Just take a look at the menu  We give you rock a la carte  We'll breakfast at Tiffany's  We'll sing to you in Japanese  We're only here to entertain you    If you wanna see some action  You get nothing but the best  The S and M attraction  We've got the pleasure chest  Chicago and New Orleans  We get you on the line  If you dig the New York scene  We'll have a son of a bitch of a time  C'mon  Let me entertain you let me entertain you  Let me entertain you tonight            
deadontime,  Fool always jumping never happy where you land  Fool got my bus'ness make your living where you can  Hurry down the highway  Hurry down the road  Hurry past the people staring  Hurry hurry hurry hurry    Leave on time leave on time  Never got your ticket but you leave on time  Leave on time leave on time  Gonna get your ticket but you leave on time  Put it in your pocket but you never can tell    Leave on time leave on time  Shake that rattle gonna leave on time  Leave on time leave on time  Fight your battle but you leave on time  Leave on time leave on time  Never got a minute no you never got a minute  No you never never got on no matter    Fool got no bus'ness hanging round and telling lies  Fool you got no reasons but you got no compromise  Stamping  Gotta get out gotta get out gotta get out  Oh you know I'm going crazy    Leave on time leave on time  Gotta get ahead but you leave on time  Leave on time leave on time  Gonna head on ahead but you leave on time  Leave on time leave on time  You're running in the red but you never can tell    Leave on time leave on time  Gotta get rich gonna leave on time  Leave on time leave on time  But you can't take it with you when you leave on time  Leave on time leave on time  Got to keep yourself alive gotta leave on time  Gotta leave on time leave on time  Dead on time  'You're Dead'            
inonlysevendays,  Monday   Start of my holiday.  Freedom for just one week.  Feels good to get away.    Tuesday   Saw her down on the beach.  I stood and watched a while   And she looked and smiled at me.    Wednesday   I didn't see her.  I hoped that she'd be back tomorrow.    And then on Thursday  My luck had changed.  She stood there all alone   I went and asked her name.    I never thought that this could happen to me  In only seven days.  It would take a hundred or more  For memories to fade.    I wish Friday would last forever.  I held her close to me.  I couldn't bear to leave her there.    Saturday  just twenty four hours.  Oh  no  I'm going back home on Sunday.    I'm so sad alone.            
dreamersball,  Oh I used to be your baby  Used to be your pride and joy  You used to take me dancing  Just like any other boy  But now you've found another partner  You've left me like a broken toy    Oh it's someone else you're taking  Someone else you're playing to  Honey though I'm aching  Know just what I have to do  If I can't have you when I'm waking  I'll go to sleep and dream I'm with you    Oh take me take me take me  To the dreamer's ball  I'll be right on time and I'll dress so fine  You're gonna love me when you see me  I won't have to worry  Take me  take me  Promise not to wake me  'Till it's morning  It's all been true    Oh take me take me take me  I'm your play thing now  You make my life worthwhile  With the slightest smile  Or destroy me with a barely perceptible whisper  Gently take me remember I'll be dreaming of my baby  At the dreamer's ball    Take me hold me  Remember what you told me  You'd meet me at the dreamer's ball  I'll meet you at the dreamer's ball            
funit,  Everybody in the morning  Should do a good turn all right  Everybody in the night time  Should have a good time all night  Now we got a movement  Don't shun it fun it  Can't you see now you're moving free?  Get some fun join our dynasty  Can't you tell when we get it down?  You're the one you're the best in town    Hey everybody everybody gonna have a good time tonight  Just shaking the soles of your feet  Everybody everybody gonna have a good time tonight  That's the only soul you'll ever meet    They say that moving the body's right it's all right  That's the only one part of being alive all right all right    Groove on out groove on up OK  Do your thing do your thing your wa  Get you kicks get your tricks with me  Get up and dance honey fun's for free    Hey everybody everybody gonna have a good time tonight  Just shaking the soles of your feet  Everybody everybody gonna have a good time tonight  That's the only sole you'll ever meet    Don't shun it fun it  Don't shun it fun it  Don't shun it fun it            
leavinghomeainteasy,  I take a step outside  And I breathe the air  And I slam the door  And I'm on my way  I won't lay no blame  I won't call you names  'Cause I've made my break  And I won't look back  I've turned my back  On those endless games    I'm all through with ties  I'm all tired of tears  I'm a happy man  Don't it look that way?  Shaking dust from my shoes  There's a road ahead  And there's no way back home  Ohh but I have  Leaving home ain't easy  Oh I never thought it would be easy  Leaving on your own  Oh is the main thing calling me back?  Leaving home ain't easy  On the one your leaving home    Stay my love my love please stay  Stray my love what's wrong my love?  What's right my love?  Ohh leaving home ain't easy  I thought how could I think of leaving  Leaving on your own  Still trying to persuade me that  Leaving home ain't necessary  Leave the only way  Leaving home ain't easy  But may be the only way            
dontstopmenow,  Tonight  I'm gonna have myself a real good time  I feel alive  And the world  I'll turn it inside out  Yeah!  I'm floating around  In ecstasy    So don't stop me now  don't stop me  'Cause I'm having a good time  having a good time    I'm a shooting star leaping through the sky  Like a tiger defying the laws of gravity  I'm a racing car passing by  Like Lady Godiva  I'm gonna go go go  There's no stopping me    I'm burning through the sky  Yeah!  Two hundred degrees  That's why they call me Mister Fahrenheit  I'm traveling at the speed of light  I wanna make a supersonic man out of you    Don't stop me now  I'm having such a good time  I'm having a ball  Don't stop me now  If you wanna have a good time  Just give me a call    Don't stop me now  'Cause I'm having a good time  Don't stop me now  Yes I'm having a good time  I don't want to stop at all  yeah!    I'm a rocket ship on my way to Mars  On a collision course  I am a satellite  I'm out of control  I am a sex machine ready to reload  Like an atom bomb about to-oh-oh-oh-oh-oh explode    I'm burning through the sky  Yeah!  Two hundred degrees  That's why they call me Mister Fahrenheit  I'm traveling at the speed of light  I wanna make a supersonic woman of you    Don't stop me  Don't stop me  Don't stop me  Hey hey hey!    Don't stop me  Don't stop me  Ooh ooh ooh  I like it    Don't stop me  Don't stop me  Have a good time  good time    Don't stop me  Don't stop me    Ooh ooh alright    Ooh I'm burning through the sky  Yeah!  Two hundred degrees  That's why they call me Mister Fahrenheit  I'm traveling at the speed of light  I wanna make a supersonic man out of you    Don't stop me now  I'm having such a good time  I'm having a ball  Don't stop me now  If you wanna have a good time  Alright  Just give me a call    Don't stop me now  'Cause I'm having a good time  Don't stop me now  Yes  I'm having a good time  I don't wanna stop at all            
